"index","ID","COMMON_NAME","SCIENTIFIC_NAME","FOOD_GROUP","FOOD_SUBGROUP"
"464","475","Steller sea lion","Eumetopias jubatus","Aquatic foods","Pinnipeds"
"465","476","Bearded seal","Erignathus barbatus","Aquatic foods","Pinnipeds"
"466","477","Ringed seal","Pusa hispida","Aquatic foods","Pinnipeds"
"467","478","Sea trout","Salmo trutta forma trutta","Aquatic foods","Fishes"
"468","479","Sesbania flower","Sesbania bispinosa","Vegetables","Other vegetables"
"469","480","American shad","Alosa sapidissima","Aquatic foods","Fishes"
"470","481","Shark","Squaliformes","Aquatic foods","Fishes"
"471","482","Sheefish","Stenodus leucichthys","Aquatic foods","Fishes"
"472","483","Sheep (Mutton, Lamb)","Ovis aries","Animal foods","Ovis"
"473","484","Sheepshead","Archosargus probatocephalus","Aquatic foods","Fishes"
"474","485","Hedge mustard","Sisymbrium","Herbs and Spices","Other seeds"
"475","486","Skipjack tuna","Katsuwonus pelamis","Aquatic foods","Fishes"
"476","487","Snapper","Lutjanidae","Aquatic foods","Fishes"
"477","488","Soursop","Annona muricata","Fruits","Tropical fruits"
"478","489","Spelt","Triticum spelta","Cereals and cereal products","Cereals"
"479","490","Spirulina","Spirulina","Aquatic foods","Seaweed"
"480","491","Squab","Columba","Animal foods","Poultry"
"481","493","Strawberry guava","Psidium cattleianum","Fruits","Berries"
"482","494","Greater sturgeon","Acipenser","Aquatic foods","Fishes"
"483","495","White sucker","Catostomus commersonii","Aquatic foods","Fishes"
"484","496","Sugar apple","Annona squamosa","Fruits","Tropical fruits"
"485","497","Pumpkinseed sunfish","Lepomis gibbosus","Aquatic foods","Fishes"
"486","498","Swordfish","Xiphias gladius","Aquatic foods","Fishes"
"487","499","Taro","Colocasia esculenta","Vegetables","Root vegetables"
"488","500","Teff","Eragrostis tef","Herbs and Spices","Herbs"
"489","501","Tilefish","Lopholatilus chamaeleonticeps","Aquatic foods","Fishes"
"490","502","Mexican groundcherry","Physalis philadelphica var. immaculata","Vegetables","Fruit vegetables"
"491","503","Towel gourd","Luffa aegyptiaca","Gourds","Gourds"
"492","504","Salmonidae (Salmon, Trout)","Salmonidae","Aquatic foods","Fishes"
"493","505","Turkey","Meleagris gallopavo","Animal foods","Poultry"
"494","506","Cattle (Beef, Veal)","Bos taurus","Animal foods","Bovines"
"495","507","Walleye","Sander vitreus","Aquatic foods","Fishes"
"496","508","Alaska pollock","Theragra chalcogramma","Aquatic foods","Fishes"
"497","509","Wasabi","Wasabia japonica","Herbs and Spices","Spices"
"498","510","Wax gourd","Benincasa hispida","Gourds","Gourds"
"499","511","Whelk","Buccinidae","Aquatic foods","Mollusks"
"500","512","Coalfish pollock","Pollachius virens","Aquatic foods","Fishes"
"501","513","Broad whitefish","Coregonus nasus","Aquatic foods","Fishes"
"502","514","Whitefish","Coregonus","Aquatic foods","Fishes"
"503","515","Whiting","Merlangius merlangus","Aquatic foods","Fishes"
"504","516","Wild rice","Zizania","Cereals and cereal products","Cereals"
"505","517","Tea leaf willow","Salix pulchra","Herbs and Spices","Herbs"
"506","518","Winged bean","Psophocarpus tetragonolobus","Pulses","Beans"
"507","519","Yam","Dioscorea","Vegetables","Tubers"
"508","520","Jicama","Pachyrhizus erosus","Vegetables","Root vegetables"
"509","521","Yautia","Xanthosoma sagittifolium","Vegetables","Leaf vegetables"
"510","522","Yellowfin tuna","Thunnus albacares","Aquatic foods","Fishes"
"511","523","Yellowtail amberjack","Seriola lalandi","Aquatic foods","Fishes"
"512","524","Pollock","Pollachius","Aquatic foods","Fishes"
"513","525","Albacore tuna","Thunnus alalunga","Aquatic foods","Fishes"
"514","526","Gadus (Common cod)","Gadus","Aquatic foods","Fishes"
"515","527","Atlantic halibut","Hippoglossus hippoglossus","Aquatic foods","Fishes"
"516","528","Pacific halibut","Hippoglossus stenolepis","Aquatic foods","Fishes"
"517","529","Pacific salmon","Oncorhynchus","Aquatic foods","Fishes"
"518","530","Smelt","Osmeridae","Aquatic foods","Fishes"
"519","531","Clupeinae (Herring, Sardine, Sprat)","Clupeinae","Aquatic foods","Fishes"
"520","532","Spiny lobster","Palinuridae","Aquatic foods","Crustaceans"
"521","533","Snow crab","Chionoecetes opilio","Aquatic foods","Crustaceans"
"522","534","Black-eyed pea","Vigna unguiculata ssp. unguiculata","Pulses","Peas"
"523","535","Deer","Cervidae","Animal foods","Venison"
"524","536","Macadamia nut","Macadamia","Nuts","Nuts"
"525","537","Percoidei (Bass and others)","Percoidei","Aquatic foods","Fishes"
"526","538","Perciformes","Perciformes","Aquatic foods","Fishes"
"527","540","Rabbit","Leporidae","Animal foods","Lagomorphs"
"528","541","Domestic goat","Capra aegagrus hircus","Animal foods","Caprae"
"529","542","Beefalo","Bos taurus X Bison bison","Animal foods","Bovines"
"530","544","Bivalvia (Clam, Mussel, Oyster)","Bivalvia","Aquatic foods","Mollusks"
"531","545","Squid","Teuthida","Aquatic foods","Mollusks"
"532","546","Shrimp","Caridea","Aquatic foods","Crustaceans"
"533","547","Crayfish","Astacidea","Aquatic foods","Crustaceans"
"534","548","Flatfish","Pleuronectiformes","Aquatic foods","Fishes"
"535","549","Domestic pig","Sus scrofa domestica","Animal foods","Swine"
"536","550","Walrus","Odobenus rosmarus","Aquatic foods","Pinnipeds"
"537","551","Alaska wild rhubarb","Polygonum alpinum","Vegetables","Stalk vegetables"
"538","552","Oriental wheat","Triticum turanicum","Cereals and cereal products","Cereals"
"539","553","Yardlong bean","Vigna unguiculata ssp. sesquipedalis","Pulses","Peas"
"540","555","Quail","Phasianidae","Animal foods","Poultry"
"541","556","Boysenberry","Rubus ursinus X idaeus","Fruits","Berries"
"542","557","Persian lime","Citrus latifolia","Fruits","Citrus"
"543","558","Feijoa","Feijoa sellowiana","Fruits","Tropical fruits"
"544","559","Rowal","Pangium edule","Herbs and Spices","Other seeds"
"545","560","Jew's ear","Auricularia auricula-judae","Vegetables","Mushrooms"
"546","561","Common mushroom","Agaricus bisporus","Vegetables","Mushrooms"
"547","562","Shiitake","Lentinus edodes","Vegetables","Mushrooms"
"548","563","Purple laver","Porphyra laciniata","Aquatic foods","Seaweed"
"549","564","Wakame","Undaria pinnatifida","Aquatic foods","Seaweed"
"550","565","Enokitake","Flammulina velutipes","Vegetables","Mushrooms"
"551","566","Epazote","Dysphania ambrosioides","Herbs and Spices","Herbs"
"552","567","Oyster mushroom","Pleurotus ostreatus","Vegetables","Mushrooms"
"553","568","Cloud ear fungus","Auricularia polytricha","Vegetables","Mushrooms"
"554","569","Maitake","Grifola frondosa","Vegetables","Mushrooms"
"555","570","Ostrich fern","Matteuccia struthiopteris","Vegetables","Leaf vegetables"
"556","571","Spot croaker","Leiostomus xanthurus","Aquatic foods","Fishes"
"557","572","Sourdock","Rumex articus","Herbs and Spices","Herbs"
"558","573","Tinda","Citrullus lanatus var. fistulosus","Gourds","Gourds"
"559","574","Atlantic menhaden","Brevoortia tyrannus","Aquatic foods","Fishes"
"560","575","Wheat","Triticum","Cereals and cereal products","Cereals"
"561","576","Common chokecherry","Prunus virginiana","Fruits","Drupes"
"562","577","Agave","Agave","Vegetables","Other vegetables"
"563","578","Narrowleaf cattail","Typha angustifolia","Vegetables","Other vegetables"
"564","579","Jellyfish","Scyphozoa","Aquatic foods","Other aquatic foods"
"565","580","Anchovy","Engraulidae","Aquatic foods","Fishes"
"566","581","Blue whiting","Micromesistius poutassou","Aquatic foods","Fishes"
"567","582","Carp bream","Abramis brama","Aquatic foods","Fishes"
"568","583","Chanterelle","Cantharellus cibarius","Vegetables","Mushrooms"
"569","584","Sturgeon","Acipenseridae","Aquatic foods","Fishes"
"570","585","Charr","Salvelinus","Aquatic foods","Fishes"
"571","586","Cinnamon","Cinnamomum","Herbs and Spices","Spices"
"572","587","Crab","Brachyura","Aquatic foods","Crustaceans"
