Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.643,..,..,..,..
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.174,..,..,..,..
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.506,..,..,..,..
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.349,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.745,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.79,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.369,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.06,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.222,..,..,..,..
Belgium,BEL,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.677,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.776,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.162,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.224,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.129,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.38,..,..,..,..
Belize,BLZ,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.805,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.168,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.538,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.297,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.125,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.41,..,..,..,..
Benin,BEN,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,1.012,..,..,..,..
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.502,..,..,..,..
Bermuda,BMU,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.478,..,..,..,..
